co_so_ma,total_orders
HC_KH_40_TRAN_PHU_NHA_TR_1304,30
HC_HCM_402_TRAN_HUNG_AO_B_359,55
HC_HCM_DIAMOND_134,58
HC_HCM_DAI_HOC_HUTECH_418,46
HC_KHONG__GALLERIA_THU_THIEM_570,44
HC_HN_FLC_36_PHAM_HUNG_326,62
HC_HCM_72_LE_THUC_HOACH_T_1258,64
HC_KHONG__TRUONG_QUANG_GIAO__776,32
HC_KHONG__MUONG_THANH_CA_MAU_1209,83
HC_KHONG__PVOIL_TRANG_BANG_T_917,56
HC_BRVT_CHI_LINH_VUNG_TAU_575,52
HC_HN_P4_PAVILION_VH_OCE_1325,56
HC_DN_HOAN_MY_DA_NANG_1172,75
HC_HCM_NGUYEN_THAI_SON_472,35
HC_HUE_AEON_MALL_HUE_822,44
HC_HCM_SUOI_TIEN_HCM_1353,36
HC_DN_NGUYEN_HUU_THO_8,133
HC_CT_VINCOM_CAN_THO_116,80
HC_HN_SAVINA_64,32
HC_HN_S2_07_VINHOMES_OCE_562,46
HC_HN_P4_PAVILION_VH_OCE_1374,61
HC_KHONG__COOPXTRA_LINH_TRUN_608,46
HC_HDUONG_CUNG_THIEU_NHI_HAI_444,42
HC_KHONG__CHXD_NO_18_QL1A_BI_892,88
HC_HN_TRUONG_INH_PLAZA_307,46
HC_HCM_66_NGUYEN_HUE_QUAN_813,54
HC_HP_GO_33_MALL_HAI_PHO_722,33
HC_KHONG__PHONG_NHA_KE_BANG_1202,39
HC_HCM_TROPICAL_VH_GRAND__1179,49
HC_KHONG__NG_TRUNG_TIN_QUY_N_620,137
HC_HCM_VAN_PHUC_CITY_2_TH_879,136
HC_HN_148_NGUYEN_CHANH_H_721,41
HC_KHONG__GO_33_MALL_QUANG_N_577,32
HC_BNIN_VIGLACERA_BAC_NINH_545,85
HC_HCM_SALA_209,63
HC_KHONG__LE_LOI_THAI_BINH_625,44
HC_HCM_CELADON_TAN_PHU_855,43
HC_KHONG__THE_LIGHT_PHU_YEN_611,49
HC_HCM_IMG_7392_182,47
HC_KHONG__GIA_SANG_MARKET_TH_1357,56
HC_DN_338_NG_VAN_LINH_DN_390,97
HC_BD_BIG_C_DI_AN_357,131
HC_HCM_33_LE_VAN_KHUONG_D_457,46
HC_KGIANG_NGUYEN_TRUNG_TRUC__718,62
HC_HCM_GO_AI_LO_BINH_DUON_1349,50
HC_HDUONG_REST_STOP_V52_2_CT_1314,43
HC_HDUONG_THANH_NIEN_HAI_DUO_750,67
HC_HCM_63_PHAM_VAN_HAI_HC_1331,53
HC_KHONG__TRAN_PHU_VINH_YEN_437,42
HC_DN_VINCOM_DA_NANG_383,118
HC_HCM_BEN_BACH_DANG_D1_1214,53
HC_KHONG__AN_DUONG_VUONG_HA__651,46
HC_DN_277_TON_DUC_THANG__392,90
HC_HCM_PVOIL_CHXD_SO_5_TH_860,55
HC_HCM_323_DO_XUAN_HOP_412,52
HC_HCM_NGUYEN_VAN_TROI_HC_729,53
HC_KHONG__PHAM_HUNG_QUY_NHON_253,84
HC_HCM_HONG_LAC_TAN_BINH_841,43
HC_HCM_AEON_TAN_PHU_2F_HC_1352,36
HC_HCM_LEXINGTON_D2_407,57
HC_HN_CHO_DAU_MOI_NAM_HA_1153,49
HC_NGHE_LOTTE_MART_VINH_523,67
HC_QN_CABLE_CAR_YEN_TU_821,31
HC_KHONG__TRANG_AN_NINH_BINH_1247,54
HC_HCM_LANH_BINH_THANG_D1_415,60
HC_HP_TRAN_PHU_HAI_PHONG_33,35
HC_DN_BACH_DANG_1,81
HC_BNIN_VINCOM_BAC_NINH_265,112
HC_HN_QL3_SOC_SON_HN_761,39
HC_HCM_IMG_1010_232,33
HC_DN_MEGA_MALL_DA_NANG_1232,84
HC_HCM_90_CMT8_161,35
HC_HN_VTV_INSIDE_87,42
HC_KHONG__ECOPARK_3_HUNG_YEN_779,61
HC_HCM_CENTRAL_PREMIUM_QU_854,30
HC_HP_25_DIEN_BIEN_PHU_H_1376,59
HC_HN_G4_VU_PHAM_HAM_809,61
HC_HCM_359A_LE_QUANG_INH_314,46
HC_HCM_CRESCENT_MALL_144,37
HC_KHONG__MEGA_MARKET_DA_NAN_572,114
HC_HCM_28_TRAN_PHU_VT_1370,49
HC_HN_FIVE_STAR_KIM_GIAN_99,44
HC_HCM_HOAN_MY_HOSPITAL_T_1192,67
HC_KHONG__LE_HOAN_HA_NAM_657,96
HC_HN_HOANG_THANH_VILLAS_481,70
HC_HCM_255_LUY_BAN_BICH_456,56
HC_KHONG__16_THANG_4_PHAN_RA_738,34
HC_HP_SHOPHOUSE_IMPERIAL_269,37
HC_HCM_310_CAY_TRAM_283,44
HC_DN_AI_HOC_SU_PHAM_DNG_384,106
HC_HCM_ORIGAMI_VH_GRAND_P_1330,41
HC_HCM_57_LE_UC_THO_245,69
HC_HCM_TAN_BINH_POST_OFFI_1219,66
HC_HCM_SATRA_3_2_181,44
HC_KHONG__CABLE_CAR_NUI_BA_D_880,59
HC_DN_203_ONG_ICH_KHIEM__388,117
HC_KH_NHA_TRANG_CENTRER_19,38
HC_CT_TTC_HOTEL_CAN_THO_362,89
HC_CT_HUYNH_CUONG_CAN_TH_713,80
HC_KH_HIGHLANDS_HAN_THUY_23,68
HC_HP_SHP_PLAZA_HAI_PHON_38,66
HC_KHONG__KHACH_SAN_VISSAI_N_674,32
HC_HN_16_PHAN_CHU_TRINH_443,48
HC_DLAK_LE_THANH_TONG_BMT_584,126
HC_DN_517_TRAN_HUNG_AO_489,85
HC_HCM_BV_NHI_DONG_TPHCM_622,56
HC_KHONG__436_NGUYEN_TAT_THA_1280,43
HC_DNAI_08_NGUYEN_AI_QUOC_127,135
HC_HCM_2B_LE_DUAN_312,49
HC_HN_PARK_CITY_HN_806,56
HC_HCM_LE_THI_RIENG_D12_1227,40
HC_HCM_26A_HOANG_VIET_HCM_422,66
HC_HCM_THI_NGHE_POST_OFFI_1204,60
HC_HCM_NO_1_BINH_TAN_1136,52
HC_HCM_TA_HIEN_THU_UC_866,35
HC_HN_S2_03_VH_OCEAN_PAR_493,36
HC_HN_NGUYEN_KHANH_TOAN__707,32
HC_HN_HPC_LANDMARK_290,61
HC_HCM_565_TINH_LO_10_553,32
HC_KH_STAR_CITY_NT_425,69
HC_LOAN_45_QL62_TAN_AN_424,50
HC_DNAI_779_NGUYEN_AI_QUOC_128,72
HC_HN_GOLD_SEASON_HN_850,34
HC_KHONG__HOA_BINH_BAC_LIEU_720,41
HC_KHONG__101_XUAN_LA_HN_747,50
HC_HN_HA_HUY_TAP_HN_749,67
HN_DU_THUYEN,62
HC_HP_MEGASTAR_HP_30,56
HC_HN_SAO_MAI_PLAZA_566,53
HC_DNAI_10_BA_THANG_HAI_DN_397,119
HC_HN_D_39_ELDORADO_TAY__479,63
HC_HUE_GO_MALL_HUE_464,66
HC_HN_TOPS_MARKET_HA_DON_1356,40
HC_HN_SME_HOANG_GIA_56,37
HC_HN_434_TRAN_KHAT_CHAN_1252,38
HC_BD_COOP_MART_BINH_DUO_113,87
HC_HN_TTC_DUY_TAN_60,43
HC_KHONG__GREEN_RIVER_D8_574,62
HC_KHONG__LPB_TOWER_HN_1240,57
HC_HN_GELEXIMCO_HA_NOI_538,34
HC_HCM_TRAN_HUNG_AO_159,32
HC_DN_MONARCHY_DA_NANG_589,87
HC_KHONG__CHUA_CHUONG_HUNG_Y_762,56
HC_HCM_LOTTE_LE_DAI_HANH__1237,38
HC_HCM_CRESCENT_MALL_703,49
HC_HCM_SG_TOWER_156,66
HC_HCM_LANDMARK_4_BINH_TH_843,41
HC_BNIN_TU_SON_25,95
HC_HCM_VINCOM_THAO_IEN_208,54
HC_BRVT_KIM_MINH_VUNG_TAU_217,32
HC_KHONG__VINCOM_TUY_HOA_510,61
HC_HN_KOSMO_TAY_HO_335,36
HC_KGIANG_HON_THOM_PHU_QUOC_874,45
HC_HN_LINH_AM_CT4_73,38
HC_HN_LAM_VIEN_COMPLEX_304,30
HC_KHONG__PARK_VIEW_HUE_263,66
HC_BRVT_199_NAM_KY_KHOI_NG_452,62
HC_HCM_VICTORY_HOTEL_D3_1298,64
HC_HCM_UOA_TOWER_D7_586,70
HC_HCM_AB_TOWER_HCM_503,68
HC_KGIANG_GRAND_WORLD_PHU_QU_606,60
HC_HCM_IMG_2306_183,58
HC_HCM_HOANG_MINH_GIAM_PH_1218,58
HC_BD_NGUYEN_KIM_BINH_DU_110,86
HC_KH_GOLD_COAST_NHA_TRA_1302,44
HC_HCM_SAIGON_TRADE_162,34
HC_KHONG__INTRACOM_ONG_ANH_H_694,59
HC_HCM_LUCKY_PALACE_D6_1293,35
HC_BD_232_NG_AN_NINH_BDG_380,80
HC_BD_KTX_KHU_B_DHQG_TP__833,125
HC_KH_MUONG_THANH_VIEN_T_1140,60
HC_HN_BT5_VAN_QUAN_96,44
HC_HCM_THE_CREST_THU_THIE_853,41
HC_DNAI_KHACH_SAN_ONG_NAI_124,103
HC_KHONG__SAM_SON_THANH_HOA_560,65
HC_HN_VINCOM_SAI_ONG_63,34
HC_HCM_THOAI_NGOC_HAU_HCM_631,38
HC_KHONG__N06B1_THANH_THAI_H_710,45
HC_KHONG__GO_33_MALL_QUY_NHO_593,82
HC_HCM_PVOIL_CHXD_BINH_TH_861,37
HC_HCM_BITEXCO_D1_1257,33
HC_HCM_CENTRAL_MALL_CU_CH_275,42
HC_HUE_CAU_DI_BO_GO_LIM_H_1359,61
HC_HP_CUNG_VAN_HOA_45_LA_1230,67
HC_HCM_VAN_PHUC_CITY_THU__680,87
HC_AGIANG_LY_THAI_TO_LONG_XU_757,69
HC_CT_HOAN_MY_CUU_LONG_C_894,80
HC_HCM_18E_PHAN_VAN_TRI_G_1250,62
HC_KH_3_THANG_4_CAM_RANH_556,66
HC_DN_DNG_AIRPORT_ARRIVA_393,103
HC_HCM_972_NGUYEN_VAN_QUA_1328,37
HC_HCM_77_HOANG_VAN_THAI__526,37
HCM_DIEN_BIEN_PHU,53
HC_KHONG__IEN_BIEN_PHU_TRA_V_733,45
HC_HN_RIVERA_PARK_298,58
HC_HCM_417_DIEN_BIEN_PHU_555,69
HC_HN_THE_MANOR_2_331,42
HC_HCM_LIBERTY_169,67
HC_HN_ECO_LAKE_VIEW_469,69
HC_HN_AEON_LONG_BIEN_43,30
HC_HCM_HUNG_VUONG_TRET_174,50
HC_HCM_PHAN_XICH_LONG_200,68
HC_DNAI_707_PHAM_VAN_THUAN_394,96
HC_HCM_IMG_1676_139,51
HC_QN_LANG_NUONG_YEN_TU_820,70
HC_HCM_BV_DH_Y_DUOC_TPHCM_1281,66
HC_HCM_225_NGUYEN_INH_CHI_233,54
HC_KHONG__VINCOM_HA_NAM_514,31
HC_BD_LOTTE_MART_BINH_DU_115,77
HC_HCM_THE_VISTA_AN_PHU_856,62
HC_HCM_123_HOANG_HOA_THAM_588,64
HC_HN_301_DOI_CAN_HN_1198,55
HC_CT_398R_NG_VAN_CU_CT_382,80
HC_HN_THE_VESTA_HA_NOI_1358,50
HC_HCM_TSN_T3_AIRPORT_ARR_1294,61
HC_LOAN_VINCOM_TAN_AN_226,32
HC_KHONG__NGUYEN_DU_NAM_INH_345,37
HC_BD_SORA_II_BINH_DUONG_460,96
HC_HP_274_A_NANG_HAI_PHO_519,34
HC_CT_CV_SONG_HAU_CAN_TH_699,112
HC_HN_BAN_AO_LINH_AM_338,39
HC_HN_VINCOM_PHAM_NGOC_T_336,38
HC_KHONG__TAN_THINH_HOA_BINH_673,58
HC_DN_NESTA_HOTEL_DA_NAN_581,50
HC_HN_VINHOMES_GARDENIA_90,69
HC_HN_LANCASTER_LUMINAIR_627,57
HC_BD_621A_DAI_LO_BINH_D_788,129
HC_HCM_140_TRUONG_CHINH_T_898,34
HC_HN_A1_NGUYEN_CO_THACH_500,62
HC_HCM_173_DANG_VAN_BI_423,37
HC_HN_PHENIKAA_HOSPITAL__1267,57
HC_KHONG__NGOC_LAM_POST_OFFI_1238,37
HC_HCM_HMC_TOWER_D1_1222,39
HC_HN_IMPERIA_GARDEN_372,55
HC_HCM_540_CONG_HOA_TAN_B_1269,65
HC_HN_STAR_CITY_305,59
HC_HN_SOMERSET_HOANG_QUO_85,39
HC_KHONG__NGUYEN_TAT_THANH_V_578,59
HC_HN_THE_GRAND_EXPO_DON_1152,54
HC_HCM_VINCOM_GO_VAP_193,57
HC_KHONG__GO_33_MALL_THANH_P_463,62
HC_HCM_FULBRIGHT_UNIVERSI_1135,46
HC_HCM_PV_GAS_TOWER_NHA_B_1306,58
HC_HCM_PHAN_HUY_ICH_2_TAN_702,37
HC_HCM_LE_THANH_TON_135,63
HC_KHONG__KCN_THUAN_DAO_LONG_1300,58
HC_HUE_CITADEL_HUE_17,39
HC_KHONG__GO_33_MALL_BAC_GIA_498,66
HC_HCM_LUY_BAN_BICH_155,39
HC_HCM_MAC_INH_CHI_158,50
HC_HCM_FAIFO_LANE_THU_THI_590,41
HC_HCM_THU_THIEM_PARK_801,54
HC_HCM_EMART_PHAN_VAN_TRI_1228,60
HC_HP_DINH_VU_PLAZA_HAI__1154,64
HC_KHONG__162A_NGUYEN_HUE_238,79
HC_KHONG__TAN_HOANG_MAO_220,31
HC_HN_CT2_NGHIA_O_582,64
HC_KHONG__HUU_NGHI_LAC_VIET__1320,40
HC_KHONG__PVOIL_MEKONG_HAU_G_903,60
HC_HP_BACH_ANG_HP_343,57
HC_HN_PACIFIC_42,41
HC_KGIANG_97_TRAN_HUNG_AO_PQ_520,32
HC_KHONG__153_TRAN_HUNG_DAO__431,87
HC_HN_INDOCHINA_59,58
HC_HN_QUAN_THANH_69,61
HC_HCM_1800_NGUYEN_ANH_TH_789,42
HC_KHONG__TRAM_DUNG_CHAN_IC4_1315,50
HC_KHONG__BT04_KDT_DET_NAM_D_1318,67
HC_HN_SYRENA_86,61
HC_DN_62_BACH_ANG_HOI_AN_1368,84
HC_HCM_PARC_MALL_D8_815,34
HC_HCM_HIEP_BINH_THU_UC_754,46
HC_HN_ECOHOME_3_480,30
HC_HCM_PHAN_VAN_TRI_GO_VA_1195,50
HC_QN_MUONG_THANH_QUANG__342,52
HC_KHONG__CHXD_LOC_AN_NAM_IN_869,43
HC_HN_E15_T1_NOI_BAI_726,61
HC_HCM_VINCOM_QUANG_TRUNG_192,59
HC_HP_NGA_5_CAT_BI_HAI_P_649,48
HC_KHONG__ECOPARK_100,63
HC_BRVT_NGUYEN_THAI_HOC_VU_218,48
HC_KHONG__GIA_SANG_MARKET_TH_1278,44
HC_DNAI_KCN_AMATA_ONG_NAI_1343,104
HC_HN_THE_MANOR_HN_72,50
HC_HN_NGUYEN_LAM_HA_NOI_634,37
HC_HN_PVOIL_CHXD_LIEN_NI_888,54
HC_KHONG__LE_DUC_THO_QUY_NHO_612,112
HC_HP_AEON_MALL_HAI_PHON_402,66
HC_HN_BT6_LUU_KHANH_DAM__780,44
HC_BD_D1_THU_DAU_MOT_BD_1183,113
HC_HCM_NGUYEN_BINH_KHIEM_461,31
HC_HCM_K_HOME_BINH_DUONG_1299,45
HC_DNAI_BUI_VAN_HOA_DN_1187,84
HC_GLAI_HOANG_VAN_THU_PLEI_739,105
HC_HCM_1180_QUANG_TRUNG_284,53
HC_HCM_SONG_HANH_THU_UC_838,33
HC_KGIANG_30_THANG_4_PHU_QUO_630,54
HC_KH_DANG_TAT_NHA_TRANG_1181,49
HC_KH_68_TRAN_NHAN_TONG__1350,61
HC_HN_KIOSK_GREEN_PEARL_451,53
HC_HUE_BEN_THUYEN_05_LE_L_524,40
HC_KHONG__VINCOM_VI_THANH_482,68
HC_HCM_LOTTE_MART_GO_VAP_190,47
HC_DN_HOANG_ANH_5,111
HC_HN_48_TRAN_NHAN_TONG_288,53
HC_KH_GO_NINH_THUAN_1362,40
HC_HN_42_VO_THI_SAU_HN_748,41
HC_CT_GO_CAN_THO_1235,104
HC_HCM_46_BUI_THI_XUAN_453,40
HC_HCM_ANG_THUC_VINH_HOC__753,63
HC_DN_214_TRAN_PHU_248,130
HC_HN_HINODE_ROYAL_PARK__1272,46
HC_HCM_L16_HIM_LAM_147,44
HC_KHONG__PHAN_CHU_TRINH_GO__1337,105
HC_HCM_43_PHAN_DANG_LUU_772,60
HC_KHONG__PHU_QUOC_AIRPORT_2_1139,53
HC_KH_PANORAMA_NHA_TRANG_599,70
HC_HCM_HUYNH_TAN_PHAT_NHA_1150,40
HC_HP_VINFAST_HAI_PHONG_267,66
HC_KHONG__LOTTE_PHAN_THIET_851,90
HC_HN_AI_HOC_PHENIKAA_HA_731,49
HC_HCM_48_LE_THI_CHO_D7_1137,39
CHI_NHANH_HE_THONG,64
HC_HP_125_TRAN_THANH_NGO_478,54
HC_HCM_416_PHAM_VAN_ONG_B_719,66
HC_KHONG__TRAN_HUNG_AO_PHUC__672,44
HC_HCM_FLORA_THU_UC_365,36
HC_HCM_SARIMI_SALA_THU_DU_1346,70
HC_HCM_IMG_1165_151,53
HC_BRVT_30_THANG_4_VUNG_TA_677,46
HC_HCM_VIVO_CITY_142,63
HC_HCM_TINH_LO_8_CU_CHI_883,44
HC_HCM_PVOIL_CHXD_SO_61_T_857,46
HC_QN_HA_LONG_MARINA_259,59
HC_NGHE_VINH_AIRPORT_2_4_804,46
HC_BD_27_DAI_LO_BINH_DUO_645,79
HC_KH_NO_10_NO_28_NHA_TR_1155,31
HC_HCM_RICHMOND_CITY_BINH_1268,57
HC_HN_CTM_CAU_GIAY_HA_NO_369,66
HC_HN_HOANG_THANH_TOWER_285,57
HC_HN_ROSE_GARDEN_81,48
HC_HCM_55_VUON_LAI_447,47
HC_HN_NHA_HAT_LON_62,46
HC_BNIN_MANDALA_BAC_NINH_378,112
HC_HCM_CANTAVIL_205,36
HC_KHONG__HIGHLANDS_PVOIL_NO_887,48
HC_HCM_HUTECH_D9_354,43
HC_HN_SAMSORA_PREMIER_CH_1160,59
HC_HCM_163_HOANG_HOA_THAM_848,53
HC_KHONG__FCC_TOWER_THAI_NGU_352,68
HC_HN_VINHOMES_OCEAN_PAR_371,42
HC_HCM_TAN_SON_NHAT_INTER_681,30
HC_HCM_132A_NGUYEN_THAI_H_324,48
HC_DN_HUNG_VUONG_11,63
HC_HCM_KCN_MY_PHUOC_2_BEN_1286,56
HC_HCM_NGUYEN_INH_CHIEU_157,41
HC_HN_ROSE_TOWN_NGOC_HOI_1244,41
HC_HCM_PARKSON_LE_THANH_T_176,44
HC_HCM_PHU_THUAN_POST_OFF_1296,62
HC_HCM_312_IEN_BIEN_PHU_H_742,37
HC_KH_PHAM_VAN_DONG_NTRA_688,43
HC_KHONG__PHU_RIENG_DO_DXOAI_768,131
HC_HCM_MUONG_THANH_SAI_GO_1197,55
HC_HN_181_NHAT_CHIEU_HA__1186,44
HC_HN_17T4_HOANG_DAO_THU_375,37
HC_BD_AEON_BINH_DUONG_109,103
HC_KHONG__TAM_COC_NINH_BINH_1254,36
HC_HCM_85_NO_3_BINH_TAN_800,67
HC_KHONG__QUANG_TRUNG_UONG_B_709,48
HC_HP_QUANG_TRUNG_HP_36,43
HC_HP_120_HAI_BA_TRUNG_H_808,44
HC_KHONG__GO_NINH_BINH_1185,56
HC_HCM_BIG_C_CITYLAND_143,66
HC_KHONG__KCN_LONG_HAU_LONG__1333,47
HC_HCM_301_NGO_GIA_TU_D10_1307,54
HC_KHONG__AI_PHUC_BINH_CHANH_698,50
HC_BD_325_AI_LO_BINH_DUO_111,66
HC_HCM_NGUYEN_KIEM_PHU_NH_837,67
HC_HCM_VNG_CAMPUS_D7_355,67
HC_HCM_384_HOANG_DIEU_HCM_1347,44
HC_DN_09_ANG_THUY_TRAM_531,83
HC_HN_HIGHALNDS_COFFEE_S_495,59
HC_KHONG__VI_XUYEN_LAKE_NAM__1342,51
HC_KHONG__DLSH_VH_OCEAN_PARK_783,61
HC_HN_URBAN_AREA_GIA_LAM_516,52
HC_HCM_VINCOM_SAIGONRES_189,61
HC_HCM_HONG_BANG_UNIVERSI_1326,64
HC_HN_LOTTE_TAY_SON_337,52
HC_HCM_SUN_VILLAGE_417,62
HC_DLAK_GO_BUON_MA_THUOT_A_1351,95
HC_HN_ROYALCITY_HN_563,45
HC_BRVT_LOTTE_VUNG_TAU_319,58
HC_HN_ARTEMIS_95,50
HC_HCM_110_HAU_GIANG_QUAN_835,70
HC_KGIANG_VINCOM_RACH_GIA_470,67
HC_KHONG__VCCI_TOWER_DAO_DUY_1180,70
HC_HCM_SUNWAH_PEARL_826,69
HC_DN_LE_LOI_DANAPEARL_251,96
HC_HCM_175B_CAO_THANG_QUA_882,34
HC_HCM_RIVERSIDE_COMPLEX__881,54
HC_KHONG__KHACH_SAN_HOA_LU_N_537,59
HC_HCM_RMIT_140,42
HC_DN_24_BACH_DANG_DA_NA_1261,97
HC_QN_MONBAY_HA_LONG_462,51
HC_HN_COT_CO_79,1
HC_DNAI_299_LE_DUAN_LT_395,92
HC_DN_AEON_MALL_A_NANG_1344,114
HC_BTRE_SENSE_BEN_TRE_509,85
HC_HN_CUTM6_1_TO_HUU_HA__547,30
HC_KGIANG_3_THANG_2_RACH_GIA_756,55
HC_HN_LINH_AM_CT3_40,30
HC_DN_145_QUANG_TRUNG_249,95
HC_HUE_LE_HUAN_HUE_700,43
HC_HCM_433_LE_DUC_THO_GO__551,32
HC_DN_GA_DA_NANG_1216,60
HC_HCM_THE_EMPORIUM_QUAN__839,53
HC_NGHE_QT09_11_VINCOM_SHO_1194,43
