id,store_name,address,hotline,hours,utilities,picture_url,detail_url,tinh_thanh
13,Highlands Coffee Lotte Đà Nẵng,"6 Nại Nam, phường Hòa Cường Bắc, quận Hải Châu, Tp. Đà Nẵng",(0236) 363.3550,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/13/x.html,Đà Nẵng
15,Hội An,"6 Hoàng Diệu, Phường Minh An, Tp. Hội An, Quảng Nam",(0235) 3757 585,6:30 - 22:30,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/15/x.html,Quảng Nam
14,Highlands Coffee 239 Điện Biên Phủ,"239 Điện Biên Phủ, Phường Hòa Khê, Quận Thanh Khê, Tp.Đà Nẵng",(0236) 3611 972,7:00 – 23:00 * 7 ngày/ tuần,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/14/x.html,Đà Nẵng
17,Citadel Huế,"46 Đinh Công Tráng, Phường Thuận Thanh, Tp. Huế, Thừa Thiên Huế",(0234) 377.8968,07:00 – 23:00 (7 ngày trong tuần),Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/17/x.html,Thừa Thiên - Huế
16,2,"38 Lê Lợi, Phường Phú Hội, Thành Phố Huế, Tỉnh Thừa Thiên Huế",,6:30 – 22:30 * 7 ngày/ tuần,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/06_2018/thumbs/2000_crop_2.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/16/x.html,Thừa Thiên - Huế
19,Nha Trang Centrer,"20 Trần Phú, Phường Lộc Thọ, Tp. Nha Trang, Khánh Hòa",(0258) 625.0012,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/19/x.html,Khánh Hòa
22,Highlands Coffee Vincom Nha Trang,"Gian Hàng L1-05, Tầng L1, TTTM Vincom, Số 44-46 Lê Thánh Tôn, Phường Lộc Thọ, Tp. Nha Trang, Khánh Hòa",(0258) 390 1177,7:00 – 23:00 * 7 ngày/ tuần,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/22/x.html,Khánh Hòa
20,Lotte Nha Trang,"58 23 Tháng 10, Phường Phương Sơn, Tp. Nha Trang, Khánh Hòa",(0258) 382.1959,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/20/x.html,Khánh Hòa
21,Viễn Đông Nha Trang,"1 Trần Hưng Đạo, Phường Lộc Thọ, Tp. Nha Trang, Khánh Hòa",(0258) 352.9877,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/21/x.html,Khánh Hòa
23,Highlands Han Thuyen Nha Trang,"12 Hàn Thuyên, Phường Xương Huân,Tp. Nha Trang, Khánh Hòa",(0258) 3562 277,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/23/x.html,Khánh Hòa
18,Citadene Nha Trang,"62 Trần Phú, Lộc Thọ, Nha Trang",(0258) 352.9877,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/18/x.html,Khánh Hòa
24,Him Lam,"Tầng 1, Him Lam Plaza, 22 Lý Thái Tổ, Phường Đại Phúc, Tỉnh Bắc Ninh",(0222) 385.8368,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/24/x.html,Bắc Ninh
25,Từ Sơn,"105 Phố Mới, Phường Đông Ngàn, Thị Xã Từ Sơn, Tỉnh Bắc Ninh",(0222) 383.2588,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/25/x.html,Bắc Ninh
26,Highlands Coffee Vincom Hạ Long,"Tầng 1, Vincom Plaza,  Phường Bạch Đằng, Tp. Hạ Long, Quảng Ninh",(0203) 628.8885,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/26/x.html,Quảng Ninh
27,Highlands Coffee Big C Hạ Long,"Cột 5, Phường Hồng Hải , Tp. Hạ Long, Quảng Ninh",(0203) 657.5464,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/27/x.html,Quảng Ninh
29,TD Plaza,"Tầng 1, TD Plaza, Lê Hồng Phong, giao lộ sân bay Cát Bì, Hải Phòng",(0225) 385.2539,,Wifi Miễn Phí,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/29/x.html,Hải Phòng
28,Highlands Coffee Golden Bay,"Trần Hưng Đạo, Phường Trần Hưng Đạo, Tp. Hạ Long, Quảng Ninh",(0203) 382 8628,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/28/x.html,Quảng Ninh
30,Megastar HP,"Tầng 5, Megastar TD Plaza, Lê Hồng Phong, giao lộ sân bay Cát Bi, Hải Phòng",(0225) 385.2412,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/30/x.html,Hải Phòng
31,Hữu Nghị HP,"60A Điện Biên Phủ, phường Minh Khai, Quận Hồng Bàng, Hải Phòng",(0225) 382.2328,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/31/x.html,Hải Phòng
32,Highlands Coffee Vincom Hải Phòng,"Tầng 1, Vincom Hải Phòng, 1 Lê Thánh Tông, phường Máy Tơ, Quận Ngô Quyền, Hải Phòng",(0225) 229.9868,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/32/x.html,Hải Phòng
33,Highlands Coffee Trần Phú Hải Phòng,"32 Trần Phú, phường Lương Khánh Thiện, Quận Ngô Quyền, Hải Phòng",(0225) 325.0309,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/33/x.html,Hải Phòng
34,Highlands Coffee Sholega Hải Phòng,"275 Lạch Tray, phường Đằng Giang, Quận Ngô Quyền, Hải Phòng",(0225) 382.8816,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/34/x.html,Hải Phòng
36,Quang Trung HP,"28A Quang Trung, phường Quang Trung, Quận Hồng Bàng, Hải Phòng",(0225) 650.2680,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/36/x.html,Hải Phòng
35,Viễn Thông A HP,"2 Phạm Minh Đức, phường Máy Tơ , Quận Ngô Quyền, Hải Phòng",(0225) 325.0292,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/35/x.html,Hải Phòng
37,Highlands Coffee Sân bay Cát Bi,"Sân bay Cát Bi, Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng",(0225) 883 2166,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/37/x.html,Hải Phòng
38,Highlands Coffee SHP Plaza Hải Phòng,"12 Lạch Tray, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng",(0225) 653.3877,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/38/x.html,Hải Phòng
39,Chợ Mơ,"Chợ Mơ, 459C Bạch Mai, phường Trương Định, Quận Hai Bà Trưng, Hà Nội",(024) 6666.8199,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/39/x.html,Hà Nội
40,Linh Đàm CT3,"Tòa nhà CT3, Linh Dam Residence Area, phường Đại Kim, quận Hoàng Mai, Hà Nội",(024) 6291.9988,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/40/x.html,Hà Nội
41,01IMG 20171013 095041,"Tầng 3, 1-3-5 Đinh Tiên Hoàng, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội",(024) 3936.3228,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/06_2018/thumbs/2000_crop_01IMG_20171013_095041.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/41/x.html,Hà Nội
42,Pacific,"Tầng 1, Pacific Place, 83B Lý Thường Kiệt, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",(024) 3946.0109,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/42/x.html,Hà Nội
43,Aeon Long Biên,"Tầng 1, TTTM Aeon Mall Long Biên, 27 Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",(024) 3200.2773,,Wifi Miễn Phí,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/43/x.html,Hà Nội
44,Dolphin Plaza,"28 Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",(024) 6294.2407,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/44/x.html,Hà Nội
46,Vincom Bà Triệu,"Tầng 5, TTTM Vincom Bà Triệu, 191 Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",(024) 6293.6441,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/46/x.html,Hà Nội
48,Kiosk Hồ Gươm,"Tầng 1, 1-3-5 Đinh Tiên Hoàng, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội",(024) 7106.5858,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/48/x.html,Hà Nội
45,Sunsquare,"21 Lê Đức Thọ, Phường Mỹ Đình, Quận Nam Từ Liêm, Hà Nội",(024) 3200.5611,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/45/x.html,Hà Nội
49,New Horizon,"Tầng 1, Tòa nhà N02, 87 Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội",(024) 7106.5559,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/49/x.html,Hà Nội
47,Lê Duẩn,"129 Lê Duẩn, phường Cửa Nam, quận Hoàn Kiếm, Hà Nội",(024) 3200.8909,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/47/x.html,Hà Nội
50,Times City,"Tầng 1, Toà nhà T5, Times City, 458 Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",(024) 3200.9069,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/50/x.html,Hà Nội
51,Park Hill,"Tầng 1, Tòa nhà Park 8, Park Hill Residence, 458 Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",(024) 3200.2599,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/51/x.html,Hà Nội
52,VTC Online,"18 Tam Trinh, phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",(024) 3633.0104,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/52/x.html,Hà Nội
53,Handico,"Tầng 1, Toà nhà Handico, Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",(024) 6654.3532,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/53/x.html,Hà Nội
55,Fivimart Hà Đông,"8 Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",(024) 3200.1202,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/55/x.html,Quảng Trị
54,Hồ Gươm Hà Đông,"Tầng 1, Hồ Gươm Hà Đông Plaza, 104 Trần Phú, phường Mỗ Lao, Quận Hà Đông, Hà Nội",(024) 3264.6210,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/54/x.html,Quảng Trị
57,Mường Thanh Xa La,"66 Phúc La Văn Phú, Khu Dân Cư Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội",(024) 3200.7170,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/57/x.html,Quảng Trị
56,SME Hoàng Gia,"Tầng 1, Toà nhà SME Hoàng Gia, Đường Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",(024) 3223.2274,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/56/x.html,Quảng Trị
58,Ecolife,"Tầng 1, Tòa nhà Ecolife, 58 Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",(024) 7106.7555,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/58/x.html,Hà Nội
59,Indochina,"Tầng 1, TTTM Indochina, 241 Xuân Thuỷ, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",(024) 3795.4029,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/59/x.html,Hà Nội
60,TTC Duy Tân,"Tầng 1, Toà nhà TTC, 19 Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",(024) 3224.2897,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/60/x.html,Hà Nội
61,Fivimart Mỹ Đình,"89 Lê Đức Thọ, Phường Mỹ ĐÌnh, Quận Nam Từ Liêm, Hà Nội",(024) 3200.6447,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/61/x.html,Hà Nội
62,Nhà Hát Lớn,"1 Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",0243 933 4801,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/62/x.html,Hà Nội
64,Savina,"Tầng 1, Toà nhà Savina, 44 Tràng Tiền, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",(024) 3936.3496,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/64/x.html,Hà Nội
65,Savico Long Biên,"Tầng 1, TTTM Savico Megamall, 7-9 Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",(024) 6664.0073,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/65/x.html,Hà Nội
63,Vincom Sài Đồng,"Tầng 1, TTTM Vincom Sài Đồng, Vinhomes Riverside, Quận Long Biên, Hà Nội",(024) 3657.4582,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/63/x.html,Hà Nội
66,Fivimart Nam Đô,"Tầng 1, Thiên Sơn Plaza, Toà nhà Nam Đô, 609 Trương Định, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",(024) 3233.6077,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/66/x.html,Hà Nội
68,Vinafor,"127 Lò Đúc, phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",(024) 3200.0710,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/68/x.html,Hà Nội
